Date,Item,Item_raw,Projected_NAV,Name,QB Num
2026-07-15,M.230-10BASET1S-KS,M.230-10BASET1S-KS,-14.0,"Keysight Technologies, Inc.",SO-20260617
2026-07-15,MEZIO-AE302-KS(EA),MezIO-AE302-KS(EA),-14.0,"Keysight Technologies, Inc.",SO-20260617
2026-07-15,FLYC-300-EC-JON8-NS,FLYC-300-EC-JON8-NS,-1.0,Peck Tech Consulting Ltd.,SO-20260879
2026-07-17,SSD-128GB-TLC5WT-TD,SSD-128GB-TLC5WT-TD,-1.0,Tenneco (VA),SO-20260968
2026-07-17,GC-JETSON-NO8G-ORIN-NVIDIA,GC-Jetson-NO8G-Orin-Nvidia,-5.0,SAIA LTL Freight,SO-20260829
2026-07-17,NUVO-8023,Nuvo-8023,-1.0,Tenneco (VA),SO-20260968
2026-07-17,NRU-162S-AWP,NRU-162S-AWP,-3.0,SAIA LTL Freight,SO-20260829
2026-07-17,I3-8100T,i3-8100T,-1.0,Tenneco (VA),SO-20260968
2026-07-22,CBL-TPCPLUG-U3TC-50CM,Cbl-TpCPlug-U3TC-50CM,-2.0,Maritime Applied Physics Corporation,SO-20260768
2026-07-23,M.242-SSD-256GB-P34-TLC5WT-TD1,M.242-SSD-256GB-P34-TLC5WT-TD1,-6.0,Rheinmetall Canada Inc.,SO-20260867
2026-07-23,GC-JETSON-NX16G-ORIN-NVIDIA,GC-Jetson-NX16G-Orin-Nvidia,-4.0,Rheinmetall Canada Inc.,SO-20260867
2026-07-23,NRU-161V-AWP,NRU-161V-AWP,-8.0,Rheinmetall Canada Inc.,SO-20260867
2026-07-24,PNL-2LTE2WIFI-SEMIL17,Pnl-2LTE2Wifi-SEMIL17,-1.0,Aerflite Canada Inc.,SO-20260884
2026-07-24,MEZIO-V20-EP,MezIO-V20-EP,-1.0,INDUSTRIES MACHINEX INC.,SO-20260944
2026-08-05,CBL-2W5M-M12A8F-40CM-PK-CANFD-T,Cbl-2W5M-M12A8F-40CM-PK-CANFD-T,-2.0,Clippership Lines Inc,SO-20260806
2026-08-07,SEMIL-1748GC-10G-L4-BSK(EA),SEMIL-1748GC-10G-L4-BSK(EA),-3.0,Navico Group Americas LLC,SO-20260714
2026-08-13,SEMIL-2047GC-CRL,SEMIL-2047GC-CRL,-20.0,Carnegie Robotics LLC,SO-20260749
2026-08-13,I9-13900E,i9-13900E,-20.0,Carnegie Robotics LLC,SO-20260749
2026-08-13,SSD-512GB-TLC5WT-TD1,SSD-512GB-TLC5WT-TD1,-20.0,Carnegie Robotics LLC,SO-20260749
2026-08-13,DTC-M12-WP,DtC-M12-WP,-99.0,Carnegie Robotics LLC,SO-20260749
2026-08-13,DDR5-32GB-ECC56WT-SM,DDR5-32GB-ECC56WT-SM,-40.0,Carnegie Robotics LLC,SO-20260749
2026-08-13,CBL-W5M-M12A5F-40CM-PK-CANFD-TP,Cbl-W5M-M12A5F-40CM-PK-CANFD-TP,-80.0,Carnegie Robotics LLC,SO-20260749
2026-08-13,CBL-W210M-M12A10F-40CM-CT-COM,Cbl-W210M-M12A10F-40CM-CT-COM,-40.0,Carnegie Robotics LLC,SO-20260749
2026-08-19,GC-JETSON-NX16G-ORIN-NVIDIA,GC-Jetson-NX16G-Orin-Nvidia,-6.0,Rheinmetall Canada Inc.,SO-20260964
2026-08-19,M.242-SSD-256GB-P34-TLC5WT-TD1,M.242-SSD-256GB-P34-TLC5WT-TD1,-8.0,Rheinmetall Canada Inc.,SO-20260964
2026-08-19,NRU-161V-AWP,NRU-161V-AWP,-10.0,Rheinmetall Canada Inc.,SO-20260964
2026-08-26,GC-JETSON-AGX64GB-ORIN-INDUSTRIAL-NVIDIA,GC-JETSON-AGX64GB-ORIN-INDUSTRIAL-NVIDIA,-1.0,ReBuild Manufacturing,SO-20260821
2026-09-11,DTC-M12-WP,DtC-M12-WP,-99.0,Carnegie Robotics LLC,SO-20260750
2026-09-11,DDR5-32GB-ECC56WT-SM,DDR5-32GB-ECC56WT-SM,-40.0,Carnegie Robotics LLC,SO-20260750
2026-09-11,CBL-W5M-M12A5F-40CM-PK-CANFD-TP,Cbl-W5M-M12A5F-40CM-PK-CANFD-TP,-80.0,Carnegie Robotics LLC,SO-20260750
2026-09-11,CBL-W210M-M12A10F-40CM-CT-COM,Cbl-W210M-M12A10F-40CM-CT-COM,-40.0,Carnegie Robotics LLC,SO-20260750
2026-09-11,SEMIL-2047GC-CRL,SEMIL-2047GC-CRL,-20.0,Carnegie Robotics LLC,SO-20260750
2026-09-11,I9-13900E,i9-13900E,-20.0,Carnegie Robotics LLC,SO-20260750
2026-09-11,SSD-512GB-TLC5WT-TD1,SSD-512GB-TLC5WT-TD1,-20.0,Carnegie Robotics LLC,SO-20260750
